input_text,input_tokens,generated_continuation_text,generated_continuation_tokens,true_continuation_text,true_continuation_tokens,matching_tokens,perfect_match
" looked at Alice, and tried to speak, but for a minute or
two sobs choked his voice. “Same as if he had a bone in his throat,”
said the Gryphon: and it set to work shaking him and punching him","[7111, 520, 30505, 11, 323, 6818, 311, 6604, 11, 719, 369, 264, 9568, 477, 198, 20375, 274, 5598, 94743, 813, 7899, 13, 1054, 19749, 439, 422, 568, 1047, 264, 17685, 304, 813, 28691, 2476, 198, 84359, 279, 99548, 52801, 25, 323, 433, 743, 311, 990, 38839, 1461, 323, 68981, 1461]","
under the chin, that the words might come out, which they did, only in
a worse tone than before. (See also Lewis Carroll, _Alice's Adventures in Wonderland_, 1872, p. 31)
The following","[198, 8154, 279, 46175, 11, 430, 279, 4339, 2643, 2586, 704, 11, 902, 814, 1550, 11, 1193, 304, 198, 64, 11201, 16630, 1109, 1603, 13, 320, 10031, 1101, 21256, 47209, 11, 721, 62786, 596, 51679, 304, 90024, 62, 1174, 220, 9674, 17, 11, 281, 13, 220, 2148, 340, 791, 2768]"," in
the back. At last the Mock Turtle recovered his voice, and, with tears
running down his cheeks, he went on again:—

“You may not have lived much under the sea—” (“I haven’t,” said
Alice)—","[304, 198, 1820, 1203, 13, 2468, 1566, 279, 14905, 67906, 26403, 813, 7899, 11, 323, 11, 449, 24014, 198, 28272, 1523, 813, 54888, 11, 568, 4024, 389, 1578, 25, 29472, 33672, 1253, 539, 617, 12439, 1790, 1234, 279, 9581, 2345, 863, 27179, 40, 9167, 1431, 2476, 1071, 198, 62786, 68850]",2,False
" in
the back. At last the Mock Turtle recovered his voice, and, with tears
running down his cheeks, he went on again:—

“You may not have lived much under the sea—” (“I haven’t,” said
Alice)—","[304, 198, 1820, 1203, 13, 2468, 1566, 279, 14905, 67906, 26403, 813, 7899, 11, 323, 11, 449, 24014, 198, 28272, 1523, 813, 54888, 11, 568, 4024, 389, 1578, 25, 29472, 33672, 1253, 539, 617, 12439, 1790, 1234, 279, 9581, 2345, 863, 27179, 40, 9167, 1431, 2476, 1071, 198, 62786, 68850]","“and perhaps you were never even introduced to a lobster—”
(“I never tasted one!” said Alice.) “A lobster—” the Mock Turtle went
on primly: “is an animal of course—” (“Of course it is","[2118, 438, 8530, 499, 1051, 2646, 1524, 11784, 311, 264, 80815, 2345, 89874, 7, 2118, 40, 2646, 61580, 832, 18319, 1071, 30505, 6266, 1054, 32, 80815, 2345, 863, 279, 14905, 67906, 4024, 198, 263, 9036, 398, 25, 1054, 285, 459, 10065, 315, 3388, 2345, 863, 27179, 2173, 3388, 433, 374]","“and perhaps you were never even introduced to a lobster—”
(Alice began to say “I once tasted—” but checked herself hastily, and
said “No, never”) “—so you can have no idea what a delightful thing a","[2118, 438, 8530, 499, 1051, 2646, 1524, 11784, 311, 264, 80815, 2345, 89874, 4444, 4859, 6137, 311, 2019, 1054, 40, 3131, 61580, 2345, 863, 719, 10273, 11937, 94532, 11, 323, 198, 84359, 1054, 2822, 11, 2646, 33611, 1054, 2345, 708, 499, 649, 617, 912, 4623, 1148, 264, 50189, 3245, 264]",14,False
"“and perhaps you were never even introduced to a lobster—”
(Alice began to say “I once tasted—” but checked herself hastily, and
said “No, never”) “—so you can have no idea what a delightful thing a","[2118, 438, 8530, 499, 1051, 2646, 1524, 11784, 311, 264, 80815, 2345, 89874, 4444, 4859, 6137, 311, 2019, 1054, 40, 3131, 61580, 2345, 863, 719, 10273, 11937, 94532, 11, 323, 198, 84359, 1054, 2822, 11, 2646, 33611, 1054, 2345, 708, 499, 649, 617, 912, 4623, 1148, 264, 50189, 3245, 264]","
lobster is.”
“Is it?” said Alice. “I’ve never tasted one!”
“Don’t you know what a lobster is?” said the Mock Turtle.
“No, no! The grubs of worms!” said the Mock Turtle.","[198, 1718, 3751, 374, 49216, 2118, 3957, 433, 12671, 1071, 30505, 13, 1054, 40, 4070, 2646, 61580, 832, 18319, 198, 2118, 8161, 1431, 499, 1440, 1148, 264, 80815, 374, 12671, 1071, 279, 14905, 67906, 627, 61559, 11, 912, 0, 578, 1099, 16115, 315, 63000, 18319, 1071, 279, 14905, 67906, 13]","
Lobster Quadrille is!”

“No, indeed,” said Alice. “What sort of a dance is it?”

“Why,” said the Gryphon, “you first form into a line along the
sea-shore—”

“Two lines","[198, 43, 677, 3751, 65048, 4618, 374, 25758, 61559, 11, 13118, 2476, 1071, 30505, 13, 1054, 3923, 3460, 315, 264, 15612, 374, 433, 16616, 2118, 10445, 2476, 1071, 279, 99548, 52801, 11, 1054, 9514, 1176, 1376, 1139, 264, 1584, 3235, 279, 198, 37541, 7666, 461, 2345, 7663, 2118, 11874, 5238]",1,False
"
Lobster Quadrille is!”

“No, indeed,” said Alice. “What sort of a dance is it?”

“Why,” said the Gryphon, “you first form into a line along the
sea-shore—”

“Two lines","[198, 43, 677, 3751, 65048, 4618, 374, 25758, 61559, 11, 13118, 2476, 1071, 30505, 13, 1054, 3923, 3460, 315, 264, 15612, 374, 433, 16616, 2118, 10445, 2476, 1071, 279, 99548, 52801, 11, 1054, 9514, 1176, 1376, 1139, 264, 1584, 3235, 279, 198, 37541, 7666, 461, 2345, 7663, 2118, 11874, 5238]","!” cried the Gryphon, in a furious voice. “Two lines!”

“Save me from such company,” the Queen exclaimed, when she saw the
animals coming towards her. “And indeed, Lord Lobster, I may tell
you frankly","[18319, 39169, 279, 99548, 52801, 11, 304, 264, 53170, 7899, 13, 1054, 11874, 5238, 25758, 2118, 8960, 757, 505, 1778, 2883, 2476, 279, 16657, 80608, 11, 994, 1364, 5602, 279, 198, 77896, 5108, 7119, 1077, 13, 1054, 3112, 13118, 11, 10425, 68617, 3751, 11, 358, 1253, 3371, 198, 9514, 42762]","!” cried the Mock Turtle. “Seals, turtles, salmon, and so on;
then, when you’ve cleared all the jelly-fish out of the way—”

“_That_ generally takes some time,” interrupted the Gryphon.

“","[18319, 39169, 279, 14905, 67906, 13, 1054, 1542, 1147, 11, 72503, 11, 41420, 11, 323, 779, 389, 280, 3473, 11, 994, 499, 4070, 23803, 682, 279, 52441, 2269, 819, 704, 315, 279, 1648, 2345, 7663, 2118, 62, 4897, 62, 8965, 5097, 1063, 892, 2476, 37883, 279, 99548, 52801, 382, 2118]",3,False
"!” cried the Mock Turtle. “Seals, turtles, salmon, and so on;
then, when you’ve cleared all the jelly-fish out of the way—”

“_That_ generally takes some time,” interrupted the Gryphon.

“","[18319, 39169, 279, 14905, 67906, 13, 1054, 1542, 1147, 11, 72503, 11, 41420, 11, 323, 779, 389, 280, 3473, 11, 994, 499, 4070, 23803, 682, 279, 52441, 2269, 819, 704, 315, 279, 1648, 2345, 7663, 2118, 62, 4897, 62, 8965, 5097, 1063, 892, 2476, 37883, 279, 99548, 52801, 382, 2118]","Each fish,” the Mock Turtle went on, “will slowly rise and slowly
sink again in the same manner, while quantities of sand and mud are
allowed to filter in to make the water as warm as possible for the
shrimps—","[4959, 7795, 2476, 279, 14905, 67906, 4024, 389, 11, 1054, 14724, 14297, 10205, 323, 14297, 198, 67838, 1578, 304, 279, 1890, 11827, 11, 1418, 33776, 315, 9462, 323, 27275, 527, 198, 21642, 311, 4141, 304, 311, 1304, 279, 3090, 439, 8369, 439, 3284, 369, 279, 198, 939, 6417, 1725, 2345]","—you advance twice—”

“Each with a lobster as a partner!” cried the Gryphon.

“Of course,” the Mock Turtle said: “advance twice, set to partners—”

“—change lobsters, and retire in same order,”","[2345, 9514, 12178, 11157, 2345, 7663, 2118, 4959, 449, 264, 80815, 439, 264, 8427, 18319, 39169, 279, 99548, 52801, 382, 2118, 2173, 3388, 2476, 279, 14905, 67906, 1071, 25, 1054, 60420, 11157, 11, 743, 311, 8717, 2345, 7663, 2118, 2345, 3455, 41253, 12855, 11, 323, 16177, 304, 1890, 2015, 2476]",0,False
"—you advance twice—”

“Each with a lobster as a partner!” cried the Gryphon.

“Of course,” the Mock Turtle said: “advance twice, set to partners—”

“—change lobsters, and retire in same order,”","[2345, 9514, 12178, 11157, 2345, 7663, 2118, 4959, 449, 264, 80815, 439, 264, 8427, 18319, 39169, 279, 99548, 52801, 382, 2118, 2173, 3388, 2476, 279, 14905, 67906, 1071, 25, 1054, 60420, 11157, 11, 743, 311, 8717, 2345, 7663, 2118, 2345, 3455, 41253, 12855, 11, 323, 16177, 304, 1890, 2015, 2476]"," continued the Gryphon.

“Then, the Queen shouted at the top of her voice—”

“—No, no! The Queen shouted—”

“—at the top of her voice—” said the Gryphon.

“—’Now,","[8738, 279, 99548, 52801, 382, 2118, 12487, 11, 279, 16657, 44543, 520, 279, 1948, 315, 1077, 7899, 2345, 7663, 2118, 2345, 2822, 11, 912, 0, 578, 16657, 44543, 2345, 7663, 2118, 2345, 266, 279, 1948, 315, 1077, 7899, 2345, 863, 1071, 279, 99548, 52801, 382, 2118, 2345, 529, 7184, 11]"," continued the Gryphon.

“Then, you know,” the Mock Turtle went on, “you throw the—”

“The lobsters!” shouted the Gryphon, with a bound into the air.

“—as far out to sea as you can—","[8738, 279, 99548, 52801, 382, 2118, 12487, 11, 499, 1440, 2476, 279, 14905, 67906, 4024, 389, 11, 1054, 9514, 2571, 279, 2345, 7663, 14305, 41253, 12855, 18319, 44543, 279, 99548, 52801, 11, 449, 264, 6965, 1139, 279, 3805, 382, 2118, 2345, 300, 3117, 704, 311, 9581, 439, 499, 649, 2345]",9,False
" continued the Gryphon.

“Then, you know,” the Mock Turtle went on, “you throw the—”

“The lobsters!” shouted the Gryphon, with a bound into the air.

“—as far out to sea as you can—","[8738, 279, 99548, 52801, 382, 2118, 12487, 11, 499, 1440, 2476, 279, 14905, 67906, 4024, 389, 11, 1054, 9514, 2571, 279, 2345, 7663, 14305, 41253, 12855, 18319, 44543, 279, 99548, 52801, 11, 449, 264, 6965, 1139, 279, 3805, 382, 2118, 2345, 300, 3117, 704, 311, 9581, 439, 499, 649, 2345]","”

“Swim after them!” screamed the Gryphon.

“Turn them upside down!” continued the Mock Turtle, as soon as it were out of sight: “mind now! The moment I give the order to the soldiers, the officers of the","[7663, 2118, 13521, 318, 1306, 1124, 18319, 61466, 279, 99548, 52801, 382, 2118, 19952, 1124, 36941, 1523, 18319, 8738, 279, 14905, 67906, 11, 439, 5246, 439, 433, 1051, 704, 315, 14254, 25, 1054, 38824, 1457, 0, 578, 4545, 358, 3041, 279, 2015, 311, 279, 15201, 11, 279, 9808, 315, 279]","”

“Swim after them!” screamed the Gryphon.

“Turn a somersault in the sea!” cried the Mock Turtle, capering wildly
about.

“Change lobsters again!” yelled the Gryphon at the top of its voice.

","[7663, 2118, 13521, 318, 1306, 1124, 18319, 61466, 279, 99548, 52801, 382, 2118, 19952, 264, 1794, 388, 957, 304, 279, 9581, 18319, 39169, 279, 14905, 67906, 11, 2107, 4776, 48295, 198, 9274, 382, 2118, 4164, 41253, 12855, 1578, 18319, 56177, 279, 99548, 52801, 520, 279, 1948, 315, 1202, 7899, 382]",16,False
"”

“Swim after them!” screamed the Gryphon.

“Turn a somersault in the sea!” cried the Mock Turtle, capering wildly
about.

“Change lobsters again!” yelled the Gryphon at the top of its voice.

","[7663, 2118, 13521, 318, 1306, 1124, 18319, 61466, 279, 99548, 52801, 382, 2118, 19952, 264, 1794, 388, 957, 304, 279, 9581, 18319, 39169, 279, 14905, 67906, 11, 2107, 4776, 48295, 198, 9274, 382, 2118, 4164, 41253, 12855, 1578, 18319, 56177, 279, 99548, 52801, 520, 279, 1948, 315, 1202, 7899, 382]","“Stop!” said the Queen. “I won’t be parted from you for all that!”

“Will you, won’t you, will you won’t you, will you won’t you join the dance?
Will you, won’t you, will","[2118, 10903, 18319, 1071, 279, 16657, 13, 1054, 40, 2834, 1431, 387, 85156, 505, 499, 369, 682, 430, 25758, 2118, 10149, 499, 11, 2834, 1431, 499, 11, 690, 499, 2834, 1431, 499, 11, 690, 499, 2834, 1431, 499, 5249, 279, 15612, 5380, 10149, 499, 11, 2834, 1431, 499, 11, 690]","“Back to land again, and that’s all the first figure,” said the Mock
Turtle, suddenly dropping his voice; and the two creatures, who had
been jumping about like mad things all this time, sat down again very
sad","[2118, 3792, 311, 4363, 1578, 11, 323, 430, 753, 682, 279, 1176, 7216, 2476, 1071, 279, 14905, 198, 51, 22492, 11, 15187, 26156, 813, 7899, 26, 323, 279, 1403, 20566, 11, 889, 1047, 198, 82850, 30102, 922, 1093, 13088, 2574, 682, 420, 892, 11, 7731, 1523, 1578, 1633, 198, 83214]",1,False
"“Back to land again, and that’s all the first figure,” said the Mock
Turtle, suddenly dropping his voice; and the two creatures, who had
been jumping about like mad things all this time, sat down again very
sad","[2118, 3792, 311, 4363, 1578, 11, 323, 430, 753, 682, 279, 1176, 7216, 2476, 1071, 279, 14905, 198, 51, 22492, 11, 15187, 26156, 813, 7899, 26, 323, 279, 1403, 20566, 11, 889, 1047, 198, 82850, 30102, 922, 1093, 13088, 2574, 682, 420, 892, 11, 7731, 1523, 1578, 1633, 198, 83214]","ly and quietly, began to whistle very softly to each other, as if
they were trying to whistle by themselves without a whistler.
“I declare it’s too bad!” cried Alice, starting to her feet with
great surprise.
“Why","[398, 323, 30666, 11, 6137, 311, 40649, 1633, 57150, 311, 1855, 1023, 11, 439, 422, 198, 20670, 1051, 4560, 311, 40649, 555, 5694, 2085, 264, 421, 380, 1565, 627, 10378, 16292, 433, 753, 2288, 3958, 18319, 39169, 30505, 11, 6041, 311, 1077, 7693, 449, 198, 47991, 13051, 627, 2118, 10445]","ly and quietly, and looked at Alice.

“It must be a very pretty dance,” said Alice timidly.

“Would you like to see a little of it?” said the Mock Turtle.

“Very much indeed,” said Alice.

“Come, let","[398, 323, 30666, 11, 323, 7111, 520, 30505, 382, 17818, 2011, 387, 264, 1633, 5128, 15612, 2476, 1071, 30505, 99149, 398, 382, 2118, 29089, 499, 1093, 311, 1518, 264, 2697, 315, 433, 12671, 1071, 279, 14905, 67906, 382, 2118, 26840, 1790, 13118, 2476, 1071, 30505, 382, 2118, 29951, 11, 1095]",5,False
"ly and quietly, and looked at Alice.

“It must be a very pretty dance,” said Alice timidly.

“Would you like to see a little of it?” said the Mock Turtle.

“Very much indeed,” said Alice.

“Come, let","[398, 323, 30666, 11, 323, 7111, 520, 30505, 382, 17818, 2011, 387, 264, 1633, 5128, 15612, 2476, 1071, 30505, 99149, 398, 382, 2118, 29089, 499, 1093, 311, 1518, 264, 2697, 315, 433, 12671, 1071, 279, 14905, 67906, 382, 2118, 26840, 1790, 13118, 2476, 1071, 30505, 382, 2118, 29951, 11, 1095]","’s try the first figure!” said the Mock Turtle to the Gryphon.

Alice had no idea what to do, or why they should all be marching in that way.

“Somebody said,” whispered Alice to the Gryphon, “that it was","[753, 1456, 279, 1176, 7216, 18319, 1071, 279, 14905, 67906, 311, 279, 99548, 52801, 382, 62786, 1047, 912, 4623, 1148, 311, 656, 11, 477, 3249, 814, 1288, 682, 387, 62198, 304, 430, 1648, 382, 2118, 8538, 2664, 1071, 2476, 58366, 30505, 311, 279, 99548, 52801, 11, 1054, 9210, 433, 574]","’s try the first figure!” said the Mock Turtle to the
Gryphon. “We can do without lobsters, you know. Which shall sing?”

“Oh, _you_ sing,” said the Gryphon. “I’ve forgotten the words","[753, 1456, 279, 1176, 7216, 18319, 1071, 279, 14905, 67906, 311, 279, 198, 38, 894, 52801, 13, 1054, 1687, 649, 656, 2085, 41253, 12855, 11, 499, 1440, 13, 16299, 4985, 7936, 16616, 87990, 11, 721, 9514, 62, 7936, 2476, 1071, 279, 99548, 52801, 13, 1054, 40, 4070, 25565, 279, 4339]",13,False
"’s try the first figure!” said the Mock Turtle to the
Gryphon. “We can do without lobsters, you know. Which shall sing?”

“Oh, _you_ sing,” said the Gryphon. “I’ve forgotten the words","[753, 1456, 279, 1176, 7216, 18319, 1071, 279, 14905, 67906, 311, 279, 198, 38, 894, 52801, 13, 1054, 1687, 649, 656, 2085, 41253, 12855, 11, 499, 1440, 13, 16299, 4985, 7936, 16616, 87990, 11, 721, 9514, 62, 7936, 2476, 1071, 279, 99548, 52801, 13, 1054, 40, 4070, 25565, 279, 4339]",".”

So they began solemnly of the Lobster Quadrille in waiting.

“The time has come,” the Walrus said,
“To talk of many things:
Of shoes—and ships—and sealing-wax—
Of cabbages—and kings—
And","[2950, 4516, 814, 6137, 64702, 398, 315, 279, 68617, 3751, 65048, 4618, 304, 8748, 382, 14305, 892, 706, 2586, 2476, 279, 14916, 20962, 1071, 345, 93673, 3137, 315, 1690, 2574, 512, 2173, 15653, 17223, 18198, 17223, 66934, 2695, 710, 2345, 198, 2173, 272, 12806, 1154, 17223, 45619, 2345, 198, 3112]",".”

So they began solemnly dancing round and round Alice, every now and
then treading on her toes when they passed too close, and waving their
forepaws to mark the time, while the Mock Turtle sang this, very slowly
","[2950, 4516, 814, 6137, 64702, 398, 29066, 4883, 323, 4883, 30505, 11, 1475, 1457, 323, 198, 3473, 259, 6285, 389, 1077, 45713, 994, 814, 5946, 2288, 3345, 11, 323, 64211, 872, 198, 1348, 79, 8805, 311, 1906, 279, 892, 11, 1418, 279, 14905, 67906, 29340, 420, 11, 1633, 14297, 198]",6,False
".”

So they began solemnly dancing round and round Alice, every now and
then treading on her toes when they passed too close, and waving their
forepaws to mark the time, while the Mock Turtle sang this, very slowly
","[2950, 4516, 814, 6137, 64702, 398, 29066, 4883, 323, 4883, 30505, 11, 1475, 1457, 323, 198, 3473, 259, 6285, 389, 1077, 45713, 994, 814, 5946, 2288, 3345, 11, 323, 64211, 872, 198, 1348, 79, 8805, 311, 1906, 279, 892, 11, 1418, 279, 14905, 67906, 29340, 420, 11, 1633, 14297, 198]","and sadly:—
“’Will you walk a little faster?’ said a whiting to a snail.
‘There’s a porpoise close behind us, and he’s treading on my tail.
See how eagerly the lobsters and","[438, 44145, 25, 2345, 198, 2118, 529, 10149, 499, 4321, 264, 2697, 10819, 45258, 1071, 264, 421, 5977, 311, 264, 4224, 607, 627, 14336, 3947, 753, 264, 4247, 5481, 1082, 3345, 4920, 603, 11, 323, 568, 753, 259, 6285, 389, 856, 9986, 627, 10031, 1268, 63473, 279, 41253, 12855, 323]","and sadly:—

“Will you walk a little faster?” said a whiting to a snail.
“There’s a porpoise close behind us, and he’s treading on my tail.
See how eagerly the lobsters and the turtles all","[438, 44145, 25, 29472, 2118, 10149, 499, 4321, 264, 2697, 10819, 12671, 1071, 264, 421, 5977, 311, 264, 4224, 607, 627, 35816, 753, 264, 4247, 5481, 1082, 3345, 4920, 603, 11, 323, 568, 753, 259, 6285, 389, 856, 9986, 627, 10031, 1268, 63473, 279, 41253, 12855, 323, 279, 72503, 682]",3,False
"and sadly:—

“Will you walk a little faster?” said a whiting to a snail.
“There’s a porpoise close behind us, and he’s treading on my tail.
See how eagerly the lobsters and the turtles all","[438, 44145, 25, 29472, 2118, 10149, 499, 4321, 264, 2697, 10819, 12671, 1071, 264, 421, 5977, 311, 264, 4224, 607, 627, 35816, 753, 264, 4247, 5481, 1082, 3345, 4920, 603, 11, 323, 568, 753, 259, 6285, 389, 856, 9986, 627, 10031, 1268, 63473, 279, 41253, 12855, 323, 279, 72503, 682]"," advance!
They are waiting on the shingle—will you come and join the dance?
Will you, won’t you, will you, won’t you, will you join the dance?
Will you, won’t you, will you, won’t","[12178, 4999, 7009, 527, 8748, 389, 279, 559, 2222, 2345, 14724, 499, 2586, 323, 5249, 279, 15612, 5380, 10149, 499, 11, 2834, 1431, 499, 11, 690, 499, 11, 2834, 1431, 499, 11, 690, 499, 5249, 279, 15612, 5380, 10149, 499, 11, 2834, 1431, 499, 11, 690, 499, 11, 2834, 1431]"," advance!
They are waiting on the shingle—will you come and join the dance?
Will you, won’t you, will you, won’t you, will you join the dance?
Will you, won’t you, will you, won’t","[12178, 4999, 7009, 527, 8748, 389, 279, 559, 2222, 2345, 14724, 499, 2586, 323, 5249, 279, 15612, 5380, 10149, 499, 11, 2834, 1431, 499, 11, 690, 499, 11, 2834, 1431, 499, 11, 690, 499, 5249, 279, 15612, 5380, 10149, 499, 11, 2834, 1431, 499, 11, 690, 499, 11, 2834, 1431]",50,True
" advance!
They are waiting on the shingle—will you come and join the dance?
Will you, won’t you, will you, won’t you, will you join the dance?
Will you, won’t you, will you, won’t","[12178, 4999, 7009, 527, 8748, 389, 279, 559, 2222, 2345, 14724, 499, 2586, 323, 5249, 279, 15612, 5380, 10149, 499, 11, 2834, 1431, 499, 11, 690, 499, 11, 2834, 1431, 499, 11, 690, 499, 5249, 279, 15612, 5380, 10149, 499, 11, 2834, 1431, 499, 11, 690, 499, 11, 2834, 1431]"," you, won’t you join the dance?
Will you, won’t you, will you, won’t you, won’t you join the dance?
Will you, won’t you, will you, won’t you, won’t you join the dance","[499, 11, 2834, 1431, 499, 5249, 279, 15612, 5380, 10149, 499, 11, 2834, 1431, 499, 11, 690, 499, 11, 2834, 1431, 499, 11, 2834, 1431, 499, 5249, 279, 15612, 5380, 10149, 499, 11, 2834, 1431, 499, 11, 690, 499, 11, 2834, 1431, 499, 11, 2834, 1431, 499, 5249, 279, 15612]"," you, won’t you join the dance?

“You can really have no notion how delightful it will be
When they take us up and throw us, with the lobsters, out to sea!”
But the snail replied “Too far, too","[499, 11, 2834, 1431, 499, 5249, 279, 15612, 1980, 33672, 649, 2216, 617, 912, 23035, 1268, 50189, 433, 690, 387, 198, 4599, 814, 1935, 603, 709, 323, 2571, 603, 11, 449, 279, 41253, 12855, 11, 704, 311, 9581, 18319, 198, 4071, 279, 4224, 607, 20592, 1054, 32346, 3117, 11, 2288]",8,False
" you, won’t you join the dance?

“You can really have no notion how delightful it will be
When they take us up and throw us, with the lobsters, out to sea!”
But the snail replied “Too far, too","[499, 11, 2834, 1431, 499, 5249, 279, 15612, 1980, 33672, 649, 2216, 617, 912, 23035, 1268, 50189, 433, 690, 387, 198, 4599, 814, 1935, 603, 709, 323, 2571, 603, 11, 449, 279, 41253, 12855, 11, 704, 311, 9581, 18319, 198, 4071, 279, 4224, 607, 20592, 1054, 32346, 3117, 11, 2288]"," far!” and gave a look askance—
Said he thanked the whiting kindly, but he would not go at once.
He would not go, because he went by the baker’s shop,
And had a sudden craving for Portuguese water ice","[3117, 18319, 323, 6688, 264, 1427, 2610, 685, 2345, 198, 50, 3864, 568, 57595, 279, 421, 5977, 47626, 11, 719, 568, 1053, 539, 733, 520, 3131, 627, 1548, 1053, 539, 733, 11, 1606, 568, 4024, 555, 279, 76928, 753, 8221, 345, 3112, 1047, 264, 11210, 64804, 369, 43288, 3090, 10054]"," far!” and gave a look askance—
Said he thanked the whiting kindly, but he would not join the dance.
Would not, could not, would not, could not, would not join the dance.
Would not, could not","[3117, 18319, 323, 6688, 264, 1427, 2610, 685, 2345, 198, 50, 3864, 568, 57595, 279, 421, 5977, 47626, 11, 719, 568, 1053, 539, 5249, 279, 15612, 627, 29089, 539, 11, 1436, 539, 11, 1053, 539, 11, 1436, 539, 11, 1053, 539, 5249, 279, 15612, 627, 29089, 539, 11, 1436, 539]",24,False
" far!” and gave a look askance—
Said he thanked the whiting kindly, but he would not join the dance.
Would not, could not, would not, could not, would not join the dance.
Would not, could not","[3117, 18319, 323, 6688, 264, 1427, 2610, 685, 2345, 198, 50, 3864, 568, 57595, 279, 421, 5977, 47626, 11, 719, 568, 1053, 539, 5249, 279, 15612, 627, 29089, 539, 11, 1436, 539, 11, 1053, 539, 11, 1436, 539, 11, 1053, 539, 5249, 279, 15612, 627, 29089, 539, 11, 1436, 539]",", would not join the dance.
Would not, could not—would not, could not join the dance.
Do you see the moral of that story?
The moral of that story is—
Oh, no! You misunderstand me!
For some must","[11, 1053, 539, 5249, 279, 15612, 627, 29089, 539, 11, 1436, 539, 2345, 41450, 539, 11, 1436, 539, 5249, 279, 15612, 627, 5519, 499, 1518, 279, 16033, 315, 430, 3446, 5380, 791, 16033, 315, 430, 3446, 374, 2345, 198, 12174, 11, 912, 0, 1472, 90700, 757, 4999, 2520, 1063, 2011]",", would not, could not, could not join the dance.

“What matters it how far we go?” his scaly friend replied.
“There is another shore, you know, upon the other side.
The further off from England the nearer is to France","[11, 1053, 539, 11, 1436, 539, 11, 1436, 539, 5249, 279, 15612, 382, 44130, 13146, 433, 1268, 3117, 584, 733, 12671, 813, 1156, 5893, 4333, 20592, 627, 35816, 374, 2500, 31284, 11, 499, 1440, 11, 5304, 279, 1023, 3185, 627, 791, 4726, 1022, 505, 9635, 279, 87920, 374, 311, 9822]",4,False
", would not, could not, could not join the dance.

“What matters it how far we go?” his scaly friend replied.
“There is another shore, you know, upon the other side.
The further off from England the nearer is to France","[11, 1053, 539, 11, 1436, 539, 11, 1436, 539, 5249, 279, 15612, 382, 44130, 13146, 433, 1268, 3117, 584, 733, 12671, 813, 1156, 5893, 4333, 20592, 627, 35816, 374, 2500, 31284, 11, 499, 1440, 11, 5304, 279, 1023, 3185, 627, 791, 4726, 1022, 505, 9635, 279, 87920, 374, 311, 9822]","—
Then turn not pale, beloved snail, but come and join the dance.
Will you, won’t you, will you, won’t you, will you join the dance?
Will you, won’t you, will you, won’t","[2345, 198, 12487, 2543, 539, 28639, 11, 28530, 4224, 607, 11, 719, 2586, 323, 5249, 279, 15612, 627, 10149, 499, 11, 2834, 1431, 499, 11, 690, 499, 11, 2834, 1431, 499, 11, 690, 499, 5249, 279, 15612, 5380, 10149, 499, 11, 2834, 1431, 499, 11, 690, 499, 11, 2834, 1431]","—
Then turn not pale, beloved snail, but come and join the dance.
Will you, won’t you, will you, won’t you, will you join the dance?
Will you, won’t you, will you, won’t","[2345, 198, 12487, 2543, 539, 28639, 11, 28530, 4224, 607, 11, 719, 2586, 323, 5249, 279, 15612, 627, 10149, 499, 11, 2834, 1431, 499, 11, 690, 499, 11, 2834, 1431, 499, 11, 690, 499, 5249, 279, 15612, 5380, 10149, 499, 11, 2834, 1431, 499, 11, 690, 499, 11, 2834, 1431]",50,True
"—
Then turn not pale, beloved snail, but come and join the dance.
Will you, won’t you, will you, won’t you, will you join the dance?
Will you, won’t you, will you, won’t","[2345, 198, 12487, 2543, 539, 28639, 11, 28530, 4224, 607, 11, 719, 2586, 323, 5249, 279, 15612, 627, 10149, 499, 11, 2834, 1431, 499, 11, 690, 499, 11, 2834, 1431, 499, 11, 690, 499, 5249, 279, 15612, 5380, 10149, 499, 11, 2834, 1431, 499, 11, 690, 499, 11, 2834, 1431]"," you, won’t you join the dance?
You can really tell that I’m not a Lewis Carroll fan, can’t you?
And that’s the way it is with most of the books I’ve read this year. I’ve read some wonderful books","[499, 11, 2834, 1431, 499, 5249, 279, 15612, 5380, 2675, 649, 2216, 3371, 430, 358, 4344, 539, 264, 21256, 47209, 8571, 11, 649, 1431, 499, 5380, 3112, 430, 753, 279, 1648, 433, 374, 449, 1455, 315, 279, 6603, 358, 4070, 1373, 420, 1060, 13, 358, 4070, 1373, 1063, 11364, 6603]"," you, won’t you join the dance?”


“Thank you, it’s a very interesting dance to watch,” said Alice,
feeling very glad that it was over at last: “and I do so like that
curious song about the","[499, 11, 2834, 1431, 499, 5249, 279, 15612, 12671, 1432, 2118, 13359, 499, 11, 433, 753, 264, 1633, 7185, 15612, 311, 3821, 2476, 1071, 30505, 345, 1897, 20659, 1633, 16089, 430, 433, 574, 927, 520, 1566, 25, 1054, 438, 358, 656, 779, 1093, 430, 198, 2407, 1245, 5609, 922, 279]",9,False
